"text","label"
"The Su-47 Berkut is one of the most unusual fighter jets ever designed. Developed by the Russian company Sukhoi in the 1990s, it was an experimental aircraft with several unique features. The most noticeable characteristic of the Su-47 is its forward-swept wings, which make it stand out from other jets. This design improves maneuverability and stability at high speeds, making the aircraft highly agile in combat situations.","1"
"Another interesting aspect of the Su-47 is its advanced composite materials. These materials made the aircraft lighter and more resistant to stress, which contributed to better performance. Additionally, the Su-47 was equipped with powerful engines, allowing it to reach high speeds and perform complex aerial maneuvers.","1"
"In conclusion, the Su-47 Berkut was a groundbreaking project that demonstrated the potential of forward-swept wings. Even though it remained a prototype, its influence on modern aviation technology is undeniable.","1"
"Когда мы анализируем автономные системы дифференциальных уравнений второго порядка, особые (стационарные) точки классифицируются в зависимости от их поведения в фазовом пространстве. Основные типы – узел, седло, вырожденная особая точка, фокус и центр.","1"
"Функция Грина – мощный инструмент для решения дифференциальных уравнений, особенно с граничными условиями. Она помогает находить решения через интегральные представления, что удобно в математической физике.","1"
"Если для одной и той же кривой используются разные параметризации, то результат интеграла не зависит от выбранной параметризации. Это свойство следует из линейности и изменения масштаба параметра.","1"
"Ты производишь впечатление целеустремлённого и дисциплинированного человека. Ты готов усердно работать над достижением целей, будь то улучшение физической формы, учёба или творческие проекты. В тебе сочетаются любопытство и стремление к развитию — ты хочешь овладеть новыми навыками, такими как изучение японского и английского языков, программирование и работа с нейросетями.","1"
"У тебя есть серьёзный подход к задачам, но при этом ты не прочь узнать что-то новое и интересное вне рамок своих целей, например, ты проявляешь интерес к культуре Армении. Похоже, тебе нравится структура и постепенное развитие, что проявляется в твоём подходе к изучению языков и учёбе в целом. При этом тебе важен не только результат, но и процесс, чтобы всё было логичным и последовательным.","1"
"Этот мем с черепахой взят из мультфильма ""В поисках Немо"" (2003). Черепаху зовут Краш (Crush), и в момент на изображении он как будто удивлён или в шоке. Мем стал популярен благодаря его комичному выражению лица и возможности добавлять к нему разные забавные подписи, связанные с ""ахуеванием"" от чего-то неожиданного.","1"
"""Врата Штейна"" (Steins;Gate) — это научно-фантастическое аниме о путешествиях во времени. Главный герой, безумный учёный Окабэ Ринтаро, случайно изобретает устройство, которое позволяет отправлять сообщения в прошлое. Однако каждый раз, изменяя события, он сталкивается с тяжёлыми последствиями и опасной организацией, охотящейся за его открытием.","1"
